aakkonen,letter
aapinen,primer
aerodynaaminen,aerodynamic
ahdistuneesti,anxious
aiheuttaja,cause
ailahtelu,lability
aitajuoksija,hurdler
ajanmittaus,time measurement
ajoittaa,schedule
akrobatia,acrobatics
alati,ever
alkeellinen,primitive
alkumuoto,prototype
allergiasaneeraus,allergy renovation
alttaritaulu,altarpiece
alusvaatteisillaan,underwear
ammattilaisurheilija,professional athlete
ampulli,ampoule
anomalia,anomaly
anti-inflammatorinen,anti-inflammatory
aravahuoneisto,state-subsidized apartment
arkkiatri,archiatre
arseeni,arsenic
arvonnousu,appreciation
asemakaava,plan
asfalttitie,asphalt road
askeettinen,ascetic
astrofysiikka,astrophysics
asutusalue,settlement
auditiivinen,auditory
aurinkokylpy,sunburn
avantgardistinen,avant-garde
avittaa,make a real contribution
beibi,baby
binomi,binomial
briiffaus,briefing
buumi,boom
contrasissi,contra guerrilla
dekantteri,beaker
dieettikeittiö,dietetic kitchen
edelläkävijä,forerunner
edustusoikeus,representation
eksistentialismi,existentialism
elektrokardiogrammi,electrocardiogram
elintarvikemuovi,plastic food
elämänalue,area of ​​life
endokrinologia,endocrinology
ennakkoasenne,bias
ennätyssato,record harvest
epideeminen,epidemic
epäjohdonmukainen,inconsistent
epäoikeutettu,unjustifiable
epätaloudellinen,uneconomical
erehdyttää,to deceive
eriluonteinen,different nature
erityisseikka,special issue
esitaistelija,champion
estimaattori,estimator
eufemismi,euphemism
fauni,faun
fiksoitua,fixed with
finni,acne
fonologia,phonology
fysiologisesti,physiologically
genomi,genome
grillimakkara,grilling
hadroni,hadron
hajaantua,scatter
hakepuu,hog fuel
hamevalta,skirt power
hapankorppu,rye crisps
harpata,skip
harvassa,sparse
haukkumasana,term of abuse
havaittavuus,observability
hehtaarihalli,superstore
heksametri,hexameter
hengitysääni,breathing sound
henkiolento,spirit
hermotus,innervation
heräämö,recovery room
hidasjärkinen,obtuse
hienorakenne,fine structure
hihnakenkä,strap shoe
hiiltää,carbonize
hintaero,difference in price
