#British English to Estonian (no proper nouns)
aargh,aah
abaca,manilla
abacination,pimestamine
aback,vastutuult
abacus,abakus
abaft,külgsuunaline
abandon,hülgama
abandoned,hüljatud
abandonment,hülgamine
abase,alandama
abash,hämmeldama
abashed,kohmetunud
abashment,kohmetus
abasia,abaasia
abate,vaibuma
abatement,vaibumine
abating,vaibuv
abatis,oratõke
abattis,oratõke
abattoir,tapamaja
abattoirs,tapamajad
abature,hirve jälg alustaimestikus
abaxial,abaksiaalne
abbacy,abtkond
abbe,abee
abbess,abtiss
abbey,klooster
abbot,abt
abbreviate,lühendama
abbreviated,lühendatud
abbreviation,lühend
abdicate,troonist loobuma
abdication,troonist loobumine
abdicator,ametist lahkuja
abditory,peidik
abdomen,kõht
abdominalis,kõhulihas
abdominous,vatsakas
abduct,röövima
abducted,röövitud
abduction,röövimine
abductor,röövija
abeam,risti
abecedarian,tähestikuline
abecedarians,algajad
abed,voodis
aberrance,kõrvalekalle
aberrancy,hälve
aberrant,hälbiv
aberration,hälve
aberrational,hälbiv
abet,ässitama
abetment,kihutuskõne
abetter,julgustaja
abettor,julgustaja
abeyance,seisak
abeyant,puhkav
abhor,jälestama
abhorrence,jälestus
abhorrent,vastumeelne
abibliophobia,hirm lugemisvara lõppemise üle
abidance,püsimine
abide,taluma
abiding,lakkamatu
abigail,kammerneitsi
abilities,võimed
ability,võime
abiogenesis,abiogenees
abiotic,abiootiline
abject,armetu
abjection,armetus
abjectly,armetult
abjectness,armetus
abjuration,lahtiütlemine
ablaze,leegitsev
ablate,märkamatult kuluma
ablated,kulunud
ablation,mahahõõrdumine
ablative,kuluv
ablaut,ablaut
able,suutlik
able-bodied,kehaliselt terve
abloom,õilmitsev
ably,osavalt
abnegate,lahti ütlema
abnegation,isetus
abnormal,ebanormaalne
abnormalcies,kõrvalekalded
abnormalities,hälbed
abnormality,ebanormaalsus
abnormally,hälbeliselt
aboard,pardale
aboardage,abordaaž
abocclusion,lahkhambumus
abode,elukoht
abolish,tühistama
abolishable,tühistatav
abolished,tühistatud
abolishment,tühistamine
abolishments,tühistamine
abolition,tühistamine
a-bomb,aatompomm
abominable,jälk
abominably,vastikult
abominate,jälestama
abomination,jälestus
abominator,vihkaja
aboral,suuväline
aboriginal,pärismaine
aborigine,pärismaalane
aborning,sünnitusel
abort,katkestama
abortifacient,aborti esile kutsuv
abortion,abort
abortionist,nurgaemand
abortive,nurjunud
abortively,tulutult
abortus,nurisünnitusel väljunud loode
aboulic,otsustusvõimetu
abound,kubisema
about,kohta
about-face,ümberpöörd
about-facing,ümbermõtlemine
about-turn,ümberpöörd
above,üle
above-board,avalik
above-cited,ülalmainitud
aboveground,maapealne
above-mentioned,ülalmainitud
abovementioned,ülalmainitud
above-named,ülalnimetatud
abovesaid,ülalmainitud
abovestairs,ülakorrusel
abracadabra,abrakadabra
abrachia,kätetus
abradability,abrasiivsus
abradant,kraabits
